カテゴリ,項目,Indeed (インディード),engage (エンゲージ),求人ボックス
基本情報,求人タイトル/職種,職種名（記載推奨）,"【必須】職種（50文字以内）\n【必須】表示職種名",【必須】求人タイトル（職種）
基本情報,雇用形態,（別画面設定または記述）,"【必須】雇用形態\n【必須】求人区分（フルタイム/パートなど）",【必須】雇用形態（チェックボックス選択）
基本情報,職種カテゴリ,（自動分類または記述）,"【必須】職種カテゴリー選択",【任意】職種区分
仕事情報,仕事内容,"【必須】仕事内容（自由記述・テンプレート使用可）","【必須】仕事内容（自由記述）\n【任意】仕事の特徴（タグ選択）","【必須】仕事内容（自由記述）"
仕事情報,アピール/特徴,"【任意】アピールポイント","【必須】法人名\n【必須】事業内容\n【任意】会社の特長","【任意】この仕事のやりがい\n【任意】求人の特徴（タグ設定）"
応募要件,対象者・資格,"【任意】求める人材（性別・年齢等の制限不可）","【必須】応募資格（最終学歴）\n【必須】募集職種の経験年数\n【必須】試用期間の有無","【任意】対象となる方（自由記述）"
応募要件,募集人数,（設定なし/記述のみ）,"【必須】募集人数",-
勤務条件,給与,"【任意】給与の補足（記述式：賞与・手当等）","【必須】給与タイプ（月給/時給等）・金額範囲\n【必須】支払方法\n【任意】賞与の有無・詳細","【必須】給与（選択式）\n【任意】給与補足・福利厚生・受動喫煙防止措置など"
勤務条件,勤務時間,（別画面設定または記述）,"【必須】勤務時間（固定/シフト/フレックス等）\n【任意】備考","【任意】勤務時間・休日（自由記述）"
勤務条件,休日・休暇,"【任意】休暇・休日（自由記述）","【必須】休日休暇（選択式：完全週休2日等）\n【必須】年間休日日数","（勤務時間・休日の項目に含む）"
勤務条件,待遇・福利厚生,"【任意】待遇・福利厚生（記述式）","【必須】加入保険（チェックボックス）\n【任意】福利厚生（タグ+記述）","（給与補足等の項目に含む）"
勤務地,場所・アクセス,"【必須】受動喫煙防止措置の状況\n【任意】アクセス","【必須】勤務地名・区分（国内/リモート等）\n【必須】郵便番号・住所\n【任意】最寄り駅","【必須】勤務地（エリア選択・自由記述）\n【任意】交通手段・勤務地補足"
画像,掲載画像,"最大5枚（メイン画像1枚＋サブ画像4枚）","最大6枚（画像＋キャプション入力可）","写真追加（枚数制限表記なし・複数可）"
その他,特記事項,"【任意】その他（面接開始日、リモート面接可否など）\n【任意】タグ選択（最大3つ）","【必須】求人掲載にあたっての確認事項（労働基準法遵守等のチェック）","【必須】必要項目（担当者氏名・連絡先）\n【任意】応募受付電話番号\n【任意】選考について\n【任意】職場について（雰囲気等チェック）"
