画面ID,画面名,カテゴリ,機能ID,機能名,機能詳細,対象プラン,優先度
AUTH-01,ログイン画面,認証,AUTH-01-F01,メールアドレス入力,メールアドレスの入力フォーム,Free/Pro,High
AUTH-01,ログイン画面,認証,AUTH-01-F02,パスワード入力,パスワードの入力フォーム,Free/Pro,High
AUTH-01,ログイン画面,認証,AUTH-01-F03,ログインボタン,Firebase Authenticationでログイン処理,Free/Pro,High
AUTH-01,ログイン画面,認証,AUTH-01-F04,パスワードリセットリンク,パスワードリセット画面への遷移,Free/Pro,High
AUTH-01,ログイン画面,認証,AUTH-01-F05,新規登録リンク,新規登録画面への遷移,Free/Pro,High
AUTH-01,ログイン画面,認証,AUTH-01-F06,アプリロゴ表示,アプリケーションロゴの表示,Free/Pro,High
AUTH-02,新規登録画面,認証,AUTH-02-F01,メールアドレス入力,メールアドレスの入力（形式チェック・重複チェック）,Free/Pro,High
AUTH-02,新規登録画面,認証,AUTH-02-F02,パスワード入力,パスワードの入力（8文字以上）,Free/Pro,High
AUTH-02,新規登録画面,認証,AUTH-02-F03,パスワード確認入力,パスワード確認の入力（一致チェック）,Free/Pro,High
AUTH-02,新規登録画面,認証,AUTH-02-F04,ニックネーム入力,ニックネームの入力（重複チェック）,Free/Pro,High
AUTH-02,新規登録画面,認証,AUTH-02-F05,利用規約同意チェック,利用規約への同意確認,Free/Pro,High
AUTH-02,新規登録画面,認証,AUTH-02-F06,登録ボタン,新規ユーザー登録処理,Free/Pro,High
AUTH-02,新規登録画面,認証,AUTH-02-F07,利用規約リンク,利用規約ページへの遷移,Free/Pro,High
AUTH-02,新規登録画面,認証,AUTH-02-F08,ログインリンク,ログイン画面への遷移,Free/Pro,High
AUTH-03,パスワードリセット画面,認証,AUTH-03-F01,メールアドレス入力,パスワードリセット用のメールアドレス入力,Free/Pro,High
AUTH-03,パスワードリセット画面,認証,AUTH-03-F02,リセットメール送信,パスワードリセットメールの送信,Free/Pro,High
AUTH-03,パスワードリセット画面,認証,AUTH-03-F03,説明文表示,パスワードリセットの説明文表示,Free/Pro,High
AUTH-03,パスワードリセット画面,認証,AUTH-03-F04,ログイン画面へ戻る,ログイン画面への遷移,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F01,広告/お知らせエリア表示,管理者が作成した広告・お知らせを自動スクロール表示,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F02,広告タップ,広告のリンク先へ遷移,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F03,現在学習中ユーザー数表示,リアルタイムで学習中のユーザー数を表示,Free/Pro,Medium
HOME-01,ホーム画面,学習管理,HOME-01-F04,学習開始ボタン,学習セッションの開始,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F05,学習終了ボタン,学習セッションの終了,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F06,タイマー表示,学習時間の経過表示,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F07,ページ数入力ダイアログ,学習終了時のページ数入力（整数のみ、0以下はエラー）,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F08,24時間自動終了,学習開始から24時間経過で自動的に学習終了,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F09,ストリーク表示,連続学習日数の表示,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F10,プロジェクトカード表示,プロジェクト名、完了ページ数/総ページ数、達成率を表示,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F11,プロジェクト編集ボタン,プロジェクト編集画面への遷移,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F12,プロジェクト追加ボタン,新規プロジェクト作成画面への遷移（Free制限あり）,Free/Pro,High
HOME-01,ホーム画面,学習管理,HOME-01-F13,アップグレード促進ダイアログ,Freeプランで2個目以降のプロジェクト作成時に表示,Free,Medium
HOME-01,ホーム画面,学習管理,HOME-01-F14,タブナビゲーション,ランキング、コミュニティ、プロフィールへの切り替え,Free/Pro,High
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F01,プロジェクト名入力,プロジェクト名の入力（必須）,Free/Pro,High
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F02,総ページ数入力,総ページ数の入力（必須、整数、編集時は変更不可）,Free/Pro,High
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F03,開始日選択,開始日の選択（カレンダー、必須）,Free/Pro,High
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F04,終了予定日選択,終了予定日の選択（カレンダー、必須、変更可能）,Free/Pro,High
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F05,学習曜日選択,学習する曜日の複数選択（月〜日）,Free/Pro,High
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F06,起床時間選択,起床時間の設定（時刻ピッカー、必須）,Free/Pro,High
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F07,保存ボタン,入力内容のバリデーションと保存,Free/Pro,High
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F08,キャンセルボタン,変更を破棄して前画面へ戻る,Free/Pro,High
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F09,削除ボタン,プロジェクトの削除（編集時のみ表示）,Free/Pro,Medium
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F10,アーカイブボタン,プロジェクトのアーカイブ（編集時のみ表示）,Free/Pro,Medium
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F11,進捗リセット機能,完了ページ数を0に戻す（付与済みボーナスは再取得不可）,Free/Pro,Medium
HOME-02,プロジェクト作成/編集画面,学習管理,HOME-02-F12,バリデーション,全フィールド必須、総ページ数正の整数、開始日<終了予定日,Free/Pro,High
RANK-01,ランキング画面,ランキング,RANK-01-F01,期間切り替えタブ,月間ランキング/年間ランキングの切り替え,Free/Pro,High
RANK-01,ランキング画面,ランキング,RANK-01-F02,月切り替えタブ,今月/先月の切り替え,Free/Pro,High
